,0
NEIGHBORHOOD_HUNTS POINT,1.4952644748735275e-06
NEIGHBORHOOD_HUNTS POINT              ,5.835039932304174e-07
NEIGHBORHOOD_INWOOD,3.1869488965176084e-05
NEIGHBORHOOD_INWOOD                   ,3.72174126592693e-05
NEIGHBORHOOD_JACKSON HEIGHTS,1.2355668972107586e-05
NEIGHBORHOOD_JACKSON HEIGHTS          ,5.565371890342392e-05
NEIGHBORHOOD_JAMAICA,1.475430039994531e-06
NEIGHBORHOOD_JAMAICA                  ,6.384556424497273e-06
NEIGHBORHOOD_JAMAICA BAY,6.575611113432072e-09
NEIGHBORHOOD_JAMAICA BAY              ,1.4593440652063494e-08
NEIGHBORHOOD_JAMAICA ESTATES,7.239648018759445e-07
NEIGHBORHOOD_JAMAICA ESTATES          ,2.1192472887537733e-06
NEIGHBORHOOD_JAMAICA HILLS,1.4473944918256842e-07
NEIGHBORHOOD_JAMAICA HILLS            ,4.574689983627559e-07
NEIGHBORHOOD_JAVITS CENTER,0.00010885149945555579
NEIGHBORHOOD_JAVITS CENTER            ,3.0806727534970535e-06
NEIGHBORHOOD_KENSINGTON,2.0308848511664915e-05
NEIGHBORHOOD_KENSINGTON               ,1.4399018802565437e-05
NEIGHBORHOOD_KEW GARDENS,6.608714019437967e-07
NEIGHBORHOOD_KEW GARDENS              ,1.2223381172823682e-06
NEIGHBORHOOD_KINGSBRIDGE HTS/UNIV HTS,4.314583648461374e-06
NEIGHBORHOOD_KINGSBRIDGE HTS/UNIV HTS ,2.358398852056885e-06
NEIGHBORHOOD_KINGSBRIDGE/JEROME PARK,8.86533105632664e-06
NEIGHBORHOOD_KINGSBRIDGE/JEROME PARK  ,4.427509107701711e-06
NEIGHBORHOOD_KIPS BAY,3.5148919622331874e-05
NEIGHBORHOOD_KIPS BAY                 ,0.011217687149935191
NEIGHBORHOOD_LAURELTON,1.1951648902245405e-07
NEIGHBORHOOD_LAURELTON                ,4.1322948615366357e-07
NEIGHBORHOOD_LITTLE ITALY,1.2380948045560032e-05
NEIGHBORHOOD_LITTLE ITALY             ,2.3061811898729198e-05
NEIGHBORHOOD_LITTLE NECK,6.371593191354602e-07
NEIGHBORHOOD_LITTLE NECK              ,3.221967143933883e-07
NEIGHBORHOOD_LIVINGSTON,2.0091626860914635e-08
NEIGHBORHOOD_LIVINGSTON               ,5.8752358329417715e-08
NEIGHBORHOOD_LONG ISLAND CITY,1.8163173881108905e-05
NEIGHBORHOOD_LONG ISLAND CITY         ,2.646329173679041e-06
NEIGHBORHOOD_LOWER EAST SIDE,7.460926748895147e-05
NEIGHBORHOOD_LOWER EAST SIDE          ,0.00019383894699248825
NEIGHBORHOOD_MADISON,2.0513716713607465e-06
NEIGHBORHOOD_MADISON                  ,2.2177150729715692e-06
NEIGHBORHOOD_MANHATTAN BEACH,8.157358009838203e-07
NEIGHBORHOOD_MANHATTAN BEACH          ,1.4481157707853488e-06
NEIGHBORHOOD_MANHATTAN VALLEY,1.3101120246468018e-05
NEIGHBORHOOD_MANHATTAN VALLEY         ,9.927307935199062e-05
NEIGHBORHOOD_MANHATTAN-UNKNOWN        ,1.666001883290059e-05
NEIGHBORHOOD_MANOR HEIGHTS,1.8530334888172243e-07
NEIGHBORHOOD_MANOR HEIGHTS            ,1.0101658375970011e-07
NEIGHBORHOOD_MARINE PARK,4.4023221520565527e-07
NEIGHBORHOOD_MARINE PARK              ,1.086716914783777e-06
NEIGHBORHOOD_MARINERS HARBOR,5.028831337311939e-08
NEIGHBORHOOD_MARINERS HARBOR          ,5.471109515599332e-06
NEIGHBORHOOD_MASPETH,7.419459697283259e-07
NEIGHBORHOOD_MASPETH                  ,3.165983694108871e-07
NEIGHBORHOOD_MELROSE/CONCOURSE,1.5441698576496254e-05
NEIGHBORHOOD_MELROSE/CONCOURSE        ,1.0313026792389304e-05
NEIGHBORHOOD_MIDDLE VILLAGE,1.0382993034883882e-06
NEIGHBORHOOD_MIDDLE VILLAGE           ,2.5533677016650343e-07
NEIGHBORHOOD_MIDLAND BEACH,1.2905816324051572e-07
NEIGHBORHOOD_MIDLAND BEACH            ,2.0731223611053836e-07
NEIGHBORHOOD_MIDTOWN CBD,0.00010546448056917905
NEIGHBORHOOD_MIDTOWN CBD              ,0.0003983620281132343
NEIGHBORHOOD_MIDTOWN EAST,1.9644567625008513e-05
NEIGHBORHOOD_MIDTOWN EAST             ,0.00027954731869933184
NEIGHBORHOOD_MIDTOWN WEST,0.0009203761646687428
NEIGHBORHOOD_MIDTOWN WEST             ,0.0010758407437264203
NEIGHBORHOOD_MIDWOOD,4.880330796689818e-06
NEIGHBORHOOD_MIDWOOD                  ,3.3646385996870313e-06
